author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total,ratio
Ana Cristina Bicharra Garcia,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Ana Garcia del Molino,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Ana L. C. Bazzan,1,0,0,0,0,0,0,0,1,0,0,2,0.500
Ana Lúcia C. Bazzan,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Ana Ozaki,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Ana Paiva,0,0,0,0,0,0,1,0,0,0,1,2,0.500
Anand Paul,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Anand Ranganathan,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Anand Sivasubramaniam,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Anara Sandygulova,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Anastasia Paparrizou,0,0,0,0,0,1,2,0,1,0,0,4,0.250
Anastasios Kyrillidis,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Anatha Ravi Kiran,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Anatole Gershman,0,0,0,0,0,0,0,0,1,0,1,2,1.000
Anbu Yue,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Anbulagan,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Anders Søgaard,0,0,0,0,0,0,0,0,2,0,0,2,1.000
Andras Gabor Kupcsik,0,0,0,0,0,0,1,0,0,0,1,2,0.500
Andre Biedenkapp,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Andre Nusser,0,0,0,0,0,0,0,1,0,0,0,1,0.000
