author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total,ratio
Aidong Zhang,0,1,0,0,0,0,1,0,0,1,2,5,0.600
Aihua Zheng,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Aijun An,1,0,0,2,0,0,0,0,0,1,0,4,0.250
Aijun Bai,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Aining Yin,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Aiqing Huang,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Aishwarya N. Reganti,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Aisling Kelliher,0,0,1,0,0,0,0,0,0,0,0,1,0.000
Aitor Soroa,0,0,0,0,0,0,1,0,0,1,0,2,0.500
Aixin Sun,0,2,0,0,2,4,3,5,2,1,1,20,0.200
Aizhan Ibraimova,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Ajay Gupta,0,0,1,0,0,0,0,0,0,0,0,1,0.000
Ajay Gupta 0005,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Ajay Jasra,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Ajay Mani,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Ajay Shekhawat,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Ajinkya Kale,0,0,0,1,0,0,0,0,0,0,1,2,0.500
Ajit Paul Singh,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Ajit Singh,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Ajita John,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Akash Anil,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Akash Srivastava,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Aki Reijonen,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Aki Vehtari,0,0,1,0,0,0,0,0,0,0,0,1,0.000
Akihiro Kishimoto,0,0,0,1,1,1,1,0,1,0,0,5,0.200
Akihiro Tamura,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Akihiro Yabe,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Akihiro Yamamoto,0,0,0,0,0,0,0,1,0,1,0,2,0.500
Akihisa Sonoda,0,0,0,0,0,0,0,1,1,1,0,3,0.667
Akihito Tokuda,0,0,1,0,0,0,0,0,0,0,0,1,0.000
Akiko Aizawa,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Akiko Takeda,0,0,0,0,0,0,1,0,0,0,2,3,0.667
Akimichi Takemura,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Akin Günay,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Akinori Fujino,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Akiomi Nishida,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Akira Tajima,0,0,0,0,0,0,0,1,0,0,1,2,0.500
Akisato Kimura,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Akos Vetek,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Akshai K. Aggarwal,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Akshat Kumar,0,1,0,1,0,1,0,0,0,2,4,9,0.667
Akshay Balsubramani,0,0,0,0,0,0,1,0,2,2,0,5,0.800
Akshay Gadde,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Akshay Java,2,0,0,0,0,0,0,0,0,0,0,2,0.000
Akshay Krishnamurthy,0,0,0,0,1,0,2,0,1,3,3,10,0.700
Akshay Narayan,0,0,0,0,0,0,0,0,0,0,2,2,1.000
Akshay Naresh Modi,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Akshay Soni,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Akshaya Thippur,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alaa Saade,0,0,0,0,0,0,0,1,1,0,0,2,0.500
Alain Berger,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alain Biem,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alain Durmus,0,0,0,0,0,0,0,0,0,1,1,2,1.000
Alain Rakotomamonjy,0,1,0,0,0,1,0,0,0,0,1,3,0.333
Alain Vanasse,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alain de Cheveigné,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Alakananda Vempala,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alameen Najjar,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Alan A. Stocker,0,0,0,0,0,2,2,0,0,2,0,6,0.333
