author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total,ratio
Abhishek Singh,0,0,0,0,0,0,0,1,1,0,0,2,0.500
Abhradeep Guha Thakurta,0,0,0,0,0,0,1,0,0,0,1,2,0.500
Abhradeep Thakurta,0,0,0,1,0,0,1,0,1,0,0,3,0.333
Abhratanu Dutta,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abinaya Manimaran,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abir Das,0,0,0,0,0,0,1,0,0,0,1,2,0.500
Abir De,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Abner Guzmán-Rivera,0,0,0,0,0,1,0,1,0,0,0,2,0.000
Abraham Bagherjeiran,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Abraham Bernstein,0,0,1,0,0,0,0,1,0,0,0,2,0.000
Abraham Heifets,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Abraham Othman,0,0,0,1,0,0,0,1,0,0,0,2,0.000
Abram L. Friesen,0,0,0,0,1,1,0,0,0,0,0,2,0.000
Abrar H. Abdulnabi,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abu Shamim Mohammad Arif,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Abulhair Saparov,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Acar Tamersoy,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Achal Dave,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Achi Brandt,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Achille Fokoue,1,0,0,0,0,1,0,0,0,0,0,2,0.000
Achint Thomas,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Achintya Bhowmik,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Achintya Kundu,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Achla Marathe,0,0,0,0,0,0,0,1,0,1,0,2,0.500
Achmadnoer Sukma Wicaksana,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Achref El Mouelhi,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Achuta Kadambi,0,0,0,0,0,0,0,0,1,1,0,2,1.000
Ad Feelders,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Ada Wai-Chee Fu,1,1,1,0,0,0,1,0,0,0,0,4,0.000
Adam A. Margolin,0,0,0,0,0,0,0,2,0,0,0,2,0.000
Adam Amos-Binks,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Adam Anthony,1,1,0,0,0,0,0,0,0,0,0,2,0.000
Adam Arvay,0,0,0,0,0,0,0,0,1,0,1,2,1.000
Adam Bermingham,0,0,1,0,0,0,0,0,0,0,0,1,0.000
Adam Bjorndahl,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Adam Bloniarz,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Adam Clark,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Adam Coates,0,0,0,0,1,1,0,0,0,0,0,2,0.000
Adam Craig Pocock,0,0,0,0,0,0,0,1,0,1,0,2,0.500
Adam D. Smith,0,1,0,1,0,0,2,0,1,0,0,5,0.200
Adam D. Troy,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Adam Finkelstein,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Adam Fleisher,0,0,1,0,2,0,0,0,0,0,0,3,0.000
Adam Fourney,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Adam Gray,0,2,0,0,0,0,0,0,0,0,0,2,0.000
Adam Haber,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Adam Herout,0,0,0,0,1,0,1,0,0,2,0,4,0.500
Adam Isaac Juda,0,0,1,0,0,0,0,0,0,0,0,1,0.000
Adam Jatowt,0,0,0,0,0,0,0,0,1,1,2,4,1.000
Adam K. Usadi,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Adam Kalai,0,1,1,0,1,0,0,0,0,0,0,3,0.000
Adam Kohn,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Adam Lee,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Adam M. Packer,0,0,0,0,0,0,2,0,0,0,1,3,0.333
Adam M. Smith,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Adam M. White,0,0,0,1,0,0,0,0,0,0,1,2,0.500
Adam Meyerson,0,0,0,0,1,0,1,0,0,0,0,2,0.000
Adam N. Mamelak,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Adam O'Donovan,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Adam Overholtzer,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Adam Perer,0,0,0,0,0,0,0,0,1,0,0,1,1.000
