author,title,year,conference
Ethan L. Schreiber_Richard E. Korf,Using Partitions and Superstrings for Lossless Compression of Pattern Databases.,2011,AAAI
Marc Pickett,Organizers.,2013,AAAI
Hang Ma 0001_Joelle Pineau,Information Gathering and Reward Exploitation of Subgoals for POMDPs.,2015,AAAI
Erkun Yang_Cheng Deng_Wei Liu_Xianglong Liu_Dacheng Tao_Xinbo Gao,Pairwise Relationship Guided Deep Hashing for Cross-Modal Retrieval.,2017,AAAI
Takeru Sunahase_Yukino Baba_Hisashi Kashima,Pairwise HITS: Quality Estimation from Pairwise Comparisons in Creator-Evaluator Crowdsourcing Process.,2017,AAAI
Shiqi Zhang_Piyush Khandelwal_Peter Stone,Dynamically Constructed (PO)MDPs for Adaptive Robot Planning.,2017,AAAI
Boon-Ping Lim,HVAC-Aware Occupancy Scheduling (Extended Abstract).,2015,AAAI
William E. Walsh_Craig Boutilier_Tuomas Sandholm_Rob Shields_George L. Nemhauser_David C. Parkes,Automated Channel Abstraction for Advertising Auctions.,2010,AAAI
Hau Chan_Luis E. Ortiz,Computing Nash Equilibrium in Interdependent Defense Games.,2015,AAAI
Johnathan Gohde_Mark S. Boddy_Hazel Shackleton_Steve Johnston,Capturing Human Route Preferences From Track Information: New Results.,2015,AAAI
Deepak Venugopal,Scaling-Up Inference in Markov Logic.,2015,AAAI
Jiangchuan Zheng_Lionel M. Ni,Time-Dependent Trajectory Regression on Road Networks via Multi-Task Learning.,2013,AAAI
Dana S. Nau_Malik Ghallab_Paolo Traverso,Blended Planning and Acting: Preliminary Approach Research Challenges.,2015,AAAI
Mahsa Ghafarianzadeh_Claire Monteleoni,Climate Prediction via Matrix Completion.,2013,AAAI
David Burkett_David Leo Wright Hall_Dan Klein,Optimal Graph Search with Iterated Graph Cuts.,2011,AAAI
Mehmet Gönen_Adam A. Margolin,Kernelized Bayesian Transfer Learning.,2014,AAAI
Chuan Zhou_Weixue Lu_Peng Zhang 0001_Jia Wu_Yue Hu_Li Guo 0001,On the Minimum Differentially Resolving Set Problem for Diffusion Source Inference in Networks.,2016,AAAI
Ramesh Nallapati_Feifei Zhai_Bowen Zhou,SummaRuNNer: A Recurrent Neural Network Based Sequence Model for Extractive Summarization of Documents.,2017,AAAI
Meghna Lowalekar_Pradeep Varakantham_Patrick Jaillet,Online Spatio-Temporal Matching in Stochastic and Dynamic Domains.,2016,AAAI
Liangda Li_Hongyuan Zha,Energy Usage Behavior Modeling in Energy Disaggregation via Marked Hawkes Process.,2015,AAAI
Wataru Inariba_Takuya Akiba_Yuichi Yoshida,Random-Radius Ball Method for Estimating Closeness Centrality.,2017,AAAI
