author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total
Laurent Perrussel,0,0,0,1,1,0,0,1,0,1,1,5
Robi Polikar,0,1,0,0,0,0,0,0,0,0,0,1
Han Li,0,0,0,0,0,0,0,0,0,0,1,1
Han Lu,0,0,0,0,0,0,0,0,0,0,1,1
Spyridon Leonardos,0,0,0,0,0,0,0,0,2,1,0,3
Kyungmo Park,0,0,0,0,0,0,0,1,0,0,0,1
David A. McAllester,0,1,0,3,2,0,1,1,0,0,0,8
Jean Kossaifi,0,0,0,0,0,0,0,0,0,0,1,1
Matjaz Jogan,0,0,0,0,0,0,1,0,0,0,0,1
Jean-Pierre Chevallet,1,0,0,0,0,0,1,0,0,0,0,2
Jie Huang,0,0,0,0,0,0,0,0,0,2,0,2
Zhizheng Zhang,0,0,0,1,1,0,0,0,0,0,0,2
Oleg V. Michailovich,1,1,0,0,0,0,0,0,0,0,0,2
Yan Deng,0,0,0,0,0,0,0,1,0,0,0,1
Sriraam Natarajan,1,0,1,0,1,2,4,7,3,1,1,21
Michael Kueppers,0,0,0,0,0,0,0,0,1,0,0,1
Yu Wang 0002,0,0,0,0,0,0,0,0,0,0,1,1
Ruixuan Wang,0,1,0,0,0,0,0,0,0,0,0,1
Julien Perez,0,0,1,0,0,0,0,0,0,0,0,1
Pew-Thian Yap,0,0,3,0,1,1,0,0,0,0,0,5
Philipp Mayr,0,0,0,0,0,0,1,0,0,0,1,2
Liam Mac Dermed,0,0,1,0,0,0,0,0,0,0,0,1
R. Dondera,0,0,0,0,1,0,0,0,0,0,0,1
Timothy P. Lillicrap,0,0,0,0,0,0,0,0,1,0,0,1
Udo Miletzki,0,1,0,0,0,0,0,0,0,0,0,1
David J. Hand,0,0,1,0,0,0,0,0,0,0,0,1
Aayush Sharma,0,1,0,0,0,0,0,0,0,0,0,1
Yulong Pei,0,0,0,0,0,0,0,0,3,0,0,3
Yair Adato,0,1,0,0,1,0,0,0,0,0,0,2
Gert R. G. Lanckriet,1,1,4,2,2,3,0,0,1,0,0,14
Xiao He,0,0,0,0,0,1,0,1,0,0,0,2
Alon Cohen,0,0,0,0,0,0,0,0,0,0,1,1
Xuning Tang,0,0,1,0,0,0,0,0,0,0,0,1
Xiao Hu,1,1,0,0,0,0,0,0,0,0,0,2
Tracy Hammond,0,6,1,0,1,0,0,0,0,0,0,8
Yiu-Kai Ng,0,0,0,0,0,2,0,0,0,0,0,2
Amelie Beaudet,0,0,0,0,0,0,0,0,0,1,0,1
Christopher Geyer,1,0,0,0,0,0,0,0,0,0,0,1
Danfeng (Daphne) Yao,0,0,0,0,0,0,0,0,0,1,0,1
Apichon Witayangkurn,0,0,0,0,0,0,0,0,0,1,0,1
Nicholas Priebe,0,0,0,0,0,0,1,0,0,0,0,1
Feida Zhu,0,0,0,0,0,0,0,1,0,1,1,3
Levent Bolelli,1,0,0,0,0,0,0,0,0,0,0,1
Myungha Jang,0,0,0,0,0,1,0,0,0,1,0,2
Jian Peng 0001,0,0,1,0,0,0,0,0,0,0,0,1
Alan Tsang,0,0,0,0,0,0,1,0,0,0,0,1
Kyle R. Ulrich,0,0,0,0,0,0,0,1,1,0,1,3
Paul Finucane,0,0,0,0,0,0,0,0,0,0,1,1
Jian Yao,1,0,0,0,0,1,1,0,2,0,0,5
Julien Filion,0,0,0,0,0,0,1,0,0,0,0,1
Vishwa Vinay,0,1,2,0,0,0,0,0,0,0,0,3
Ian McDowall,1,0,0,0,0,0,0,0,0,0,0,1
Jiangbo Lu,0,0,0,0,0,1,2,1,1,1,2,8
John W. Byers,0,0,0,0,0,0,1,0,0,0,0,1
Olivier Bousquet,1,0,0,0,0,0,0,0,0,0,2,3
An C. Tran,0,0,0,0,0,0,1,0,0,0,0,1
Nicholas J. Belkin,1,0,0,2,3,1,0,1,1,1,1,11
Xin Zhang 0013,0,0,0,0,2,0,0,0,0,0,0,2
Kevin S. Xu 0001,0,0,0,0,0,1,0,0,0,0,0,1
Snigdhansu Chatterjee,0,0,0,0,0,1,0,0,0,0,1,2
Gang Zheng,0,0,0,0,0,0,1,0,0,0,0,1
